Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Mg 1',      2512.95900,    2.712, -3.821, 3.960, 1.420,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.95900,    2.712, -5.572, 3.600, 1.410,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.97600,    2.712, -3.493, 3.980, 1.400,-5.180, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.97600,    2.712, -3.794, 3.980, 1.400,-5.180, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.98700,    2.709, -3.204, 4.450, 0.610,-5.430, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.99100,    2.712, -3.804, 3.980, 1.390,-5.180, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.99100,    2.712, -5.556, 3.610, 1.390,-5.180, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.00900,    2.712, -3.476, 3.990, 1.370,-5.190, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.00900,    2.712, -3.777, 3.990, 1.370,-5.190, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.02400,    2.712, -3.787, 3.990, 1.360,-5.190, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.02400,    2.712, -5.539, 3.630, 1.360,-5.190, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.03100,    2.709, -5.573, 4.080, 0.600,-5.440, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.04300,    2.712, -3.458, 4.010, 1.340,-5.200, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.04300,    2.712, -3.760, 4.010, 1.340,-5.200, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2513.05800,    2.712, -3.769, 4.010, 1.330,-5.200, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
