Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'O 1',       3692.35600,    9.521, -3.721, 0.000, 0.000,-7.931, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
'O 1',       3692.38600,    9.521, -3.244, 0.000, 0.000,-7.931, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
'O 1',       3692.39500,    9.521, -3.022, 0.000, 0.000,-7.931, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
'O 1',       3822.57700,   12.539, -2.892, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3823.41400,   12.539, -1.992, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3823.86800,   12.541, -2.910, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3824.34900,   12.541, -2.245, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3825.02300,   12.542, -2.434, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3825.18700,   12.541, -2.894, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3825.50500,   12.542, -2.910, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3855.01400,   12.729, -1.741, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3947.29500,    9.146, -2.095, 0.000, 0.000,-7.957, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
'O 1',       3947.48100,    9.146, -2.244, 0.000, 0.000,-7.957, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
'O 1',       3947.58600,    9.146, -2.467, 0.000, 0.000,-7.957, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   2 BPM   2 BPM   2 BPM   2 BPM              O'
'O 1',       3951.92800,   10.989, -3.139, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3952.88800,   10.989, -3.264, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3952.97500,   10.989, -3.042, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3953.00000,   10.989, -3.140, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3954.51900,   10.989, -3.043, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3954.60700,   10.989, -2.565, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       3997.95300,   12.729, -1.761, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4054.77000,   12.359, -2.696, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
'O 1',       4054.79000,   12.359, -2.472, 0.000, 0.000, 0.000, 99.000,'   1 wl:NIST10   1 NIST10   1 gf:NIST10   1 NIST10   1 NIST10   1 NIST10   1 NIST10              O'
