Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Ca 1',      2137.35100,    1.886, -4.687, 6.140,-2.340,-6.530,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2137.54754,    1.886, -4.399, 6.470,-2.370,-6.540,  0.890,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2138.01755,    1.899, -5.831, 5.610,-2.880,-6.520,  1.850,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2138.04042,    1.899, -4.990, 5.260,-2.570,-6.520,  0.100,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2138.23516,    1.879, -5.138, 5.640,-2.560,-6.580,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2138.48411,    1.899, -4.154, 6.390,-2.220,-6.540,  1.170,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2138.61771,    1.886, -6.539, 6.660,-2.350,-6.530,  0.340,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2138.68635,    1.886, -6.531, 5.240,-2.800,-6.580,  1.350,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2138.89228,    1.886, -6.208, 6.290,-2.420,-6.520,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2139.03784,    1.899, -4.426, 6.470,-2.160,-6.540,  1.280,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2139.04965,    1.879, -4.492, 5.280,-2.670,-6.580,  0.800,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2140.21122,    1.886, -4.047, 5.830,-2.610,-6.580,  1.000,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2140.62372,    1.886, -4.936, 5.640,-2.560,-6.580,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2140.86121,    1.899, -5.431, 6.390,-2.350,-6.520,  1.350,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2141.30607,    1.899, -5.783, 6.400,-2.300,-6.540,  2.000,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2141.44003,    1.886, -4.829, 5.290,-2.670,-6.580,  1.150,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2141.98519,    1.899, -6.160, 6.280,-2.260,-6.520,  1.370,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2142.20094,    1.899, -5.603, 6.140,-2.340,-6.530,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2142.39837,    1.899, -5.681, 6.470,-2.370,-6.540,  1.300,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2142.85857,    1.886, -3.923, 6.550,-2.560,-6.600,  0.840,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2143.21870,    1.879, -4.108, 6.460,-2.420,-6.600,  0.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
